chinese,name,price
,A15. Egg Roll & Beef Terriyaki & Chicken Wing & Chicken Fingers,10.95
,A16. Boneless Spare Ribs & Fried Shrimp & Chicken Fingers,10.95
,A17. Beef Teriyaki & Bar-B-Q Boneless Spare Ribs & Egg Rolls,10.95
